admin2,amount
101001,5246688600
101002,5141626600
101003,11447072320
102001,515722600
102002,4122629000
103001,4006221800.0
104001,2470320600
104002,78230217400.0
104003,13814462880.0
104004,4218213400
104005,12498558600
104006,7615301400
104007,17990495200
104009,7795908400
104010,23365515000
104011,12186298660.0
104013,158633605440.0
104016,65144574360
104018,42365662400
104020,21071705320
104021,36262037500.0
104022,5656879700
104023,5060484600
105002,179623503140.0
105003,1471746800
105004,689113400
105005,817208600
105006,49811800.0
105007,648868000
105008,407604800
105009,4630587000
105010,37108212800.0
105012,189572600
105013,23541732120.0
105014,6385443600
105015,3634053700
105016,4170814600.0
105017,223848600
105018,18359541600
105019,40957648800
105020,560072800
105033,6305985000
105034,332553800.0
105035,293226000.0
106001,33872863460.0
106002,6950498000
106003,8326946400
106004,9075468200.0
106005,9654530400
106006,10970065000
106007,8270014800.0
106008,11334176600.0
106009,7574625580.0
106010,4385689600.0
106011,5341174200.0
301002,1350783200
301007,4198731200
