admin2,econ1,amount
101001,4000,3721619400
101001,5000,1525069200
101002,4000,4183050000
101002,5000,958576600
101003,4000,6568040340
101003,5000,4879031980
102001,4000,489756000
102001,5000,25966600
102002,4000,3732756000
102002,5000,389873000
103001,4000,3575116600
103001,5000,431105200.0
104001,4000,1120825400
104001,5000,1349495200
104002,4000,70248611200.0
104002,5000,7981606200
104003,4000,8312769640.0
104003,5000,5501693240
104004,4000,3898748800
104004,5000,319464600
104005,4000,12200056800
104005,5000,298501800
104006,4000,3889092400
104006,5000,3726209000
104007,4000,10919949800
104007,5000,7070545400
104009,4000,2878457400
104009,5000,4917451000
104010,4000,21738213200
104010,5000,1627301800
104011,4000,9625412700.0
104011,5000,2560885960
104013,4000,130900720840.0
104013,5000,27732884600
104016,4000,63992789560
104016,5000,1151784800
104018,4000,11360997000
104018,5000,31004665400
104020,4000,2570621920
104020,5000,18501083400
104021,4000,32934559900.0
104021,5000,3327477600
104022,4000,5589817900
104022,5000,67061800
104023,4000,860484600
104023,5000,4200000000
105002,4000,179578975340.0
105002,5000,44527800
105003,4000,1470869400
105003,5000,877400
105004,4000,658733000
105004,5000,30380400
105005,4000,767310600
105005,5000,49898000
105006,4000,49811800.0
105007,4000,636966000
105007,5000,11902000
105008,4000,330891000
105008,5000,76713800
105009,4000,2941299200
105009,5000,1689287800
105010,4000,23838378840.0
105010,5000,13269833960
105012,4000,177332600
105012,5000,12240000
105013,4000,21314440120.0
105013,5000,2227292000
105014,4000,5943854600
105014,5000,441589000
105015,4000,3534765700
105015,5000,99288000
105016,4000,411344600.0
105016,5000,3759470000
105017,4000,213264000
105017,5000,10584600
105018,4000,14857559400
105018,5000,3501982200
105019,4000,37700720200
105019,5000,3256928600
105020,4000,537166000
105020,5000,22906800
105033,4000,6294985000
105033,5000,11000000
105034,4000,315989800.0
105034,5000,16564000
105035,4000,231835400.0
105035,5000,61390600
106001,4000,38798457460.0
106001,5000,23831356600
106001,6000,-28756950600
106002,4000,6277954000
106002,5000,672544000
106003,4000,7453636000
106003,5000,873310400
106004,4000,8201766600.0
106004,5000,873701600
106005,4000,9200854400
106005,5000,453676000
106006,4000,9077708400
106006,5000,1892356600
106007,4000,7549232400
106007,5000,720782400.0
106008,4000,10314029800.0
106008,5000,1020146800.0
106009,4000,6150729800
106009,5000,1423895780.0
106010,4000,2766805800.0
106010,5000,1618883800
106011,4000,4704861400.0
106011,5000,636312800.0
301002,4000,1350783200
301002,5000,0
301007,4000,7432954400
301007,5000,240000
301007,6000,-3234463200
