admin2,econ1,econ2,amount
101001,4000,4100,797274400
101001,4000,4200,1767397000
101001,4000,4500,314246400
101001,4000,4600,215441600
101001,4000,4800,627260000
101001,5000,5100,1525069200
101002,4000,4100,2264737800
101002,4000,4200,1639486000
101002,4000,4600,181666200
101002,4000,4700,47160000
101002,4000,4800,50000000
101002,5000,5100,958576600
101003,4000,4100,822823200
101003,4000,4200,1308540500
101003,4000,4500,664901000
101003,4000,4600,1071988000
101003,4000,4800,2699787640
101003,5000,5100,4879031980
102001,4000,4100,348688800
102001,4000,4200,137077600
102001,4000,4800,3989600
102001,5000,5100,25966600
102002,4000,4100,3033434400
102002,4000,4200,537097600
102002,4000,4600,61052000
102002,4000,4800,101172000
102002,5000,5100,389873000
103001,4000,4100,2772103000
103001,4000,4200,639052000
103001,4000,4600,154061800
103001,4000,4800,9899800
103001,5000,5100,431105200.0
104001,4000,4100,290764000
104001,4000,4200,111595600
104001,4000,4500,516811800
104001,4000,4600,180977400
104001,4000,4700,0
104001,4000,4800,20676600
104001,5000,5100,1349495200
104002,4000,4100,1259179000.0
104002,4000,4200,67883559400
104002,4000,4600,137796000
104002,4000,4700,441310200
104002,4000,4800,526766600
104002,5000,5100,7981606200
104003,4000,4100,3306445220.0
104003,4000,4200,3698707900.0
104003,4000,4600,237676140
104003,4000,4700,294502520
104003,4000,4800,775437860
104003,5000,5100,5242396640
104003,5000,5400,259296600
104004,4000,4100,960177800
104004,4000,4200,195341400
104004,4000,4500,206660000
104004,4000,4600,2488625600
104004,4000,4800,47944000
104004,5000,5100,319464600
104005,4000,4100,851324200
104005,4000,4200,748694000
104005,4000,4500,94783600
104005,4000,4600,1837885400
104005,4000,4800,8667369600
104005,5000,5100,298501800
104006,4000,4100,1169216000
104006,4000,4200,305254800
104006,4000,4500,657693400
104006,4000,4600,954593400
104006,4000,4800,802334800
104006,5000,5100,3726209000
104007,4000,4100,697577600
104007,4000,4200,4062936000
104007,4000,4500,433050000
104007,4000,4600,3680851000
104007,4000,4700,402249400
104007,4000,4800,1643285800
104007,5000,5100,7070545400
104009,4000,4100,409861600
104009,4000,4200,75361400
104009,4000,4500,53394000
104009,4000,4700,48957600
104009,4000,4800,2290882800
104009,5000,5100,4917451000
104010,4000,4100,575994000
