func1,func2,amount
1,101,26980859900
1,103,1558686400
1,104,2498823500
1,105,2203381300
1,106,6280891700
1,107,10315394900
2,201,70510719600
2,203,116600100
2,204,605520000
2,205,3776893100
3,301,24385554700
3,302,2761784300
3,303,3364694300
3,304,2044263400
3,305,4419968000
4,401,2643356900
4,402,18275997500
4,403,4477315300
4,404,44092000
4,405,41025857600
4,406,149500000
4,407,2249400000
4,408,816343700
4,409,-657501000
5,501,31197000
5,503,145802000
5,504,696280100
5,506,2325296500
6,601,3549400000
6,603,10238741500
6,606,360497900
7,701,2720232800
7,702,14740786800
7,703,13719952400
7,704,2187235000
7,705,68901800
7,706,5987714500
8,801,1175367100
8,802,7517580000
8,803,4028766400
8,804,496445700
8,806,379517400
9,902,45155432000
9,903,2771041500
9,904,5038938800
9,905,1386702000
9,906,22813909900
9,908,396218300
10,1001,816735800
10,1002,87042079400
10,1003,17500000
10,1004,28733329900
10,1005,2215940600
10,1006,4538791900
10,1007,3955128700
10,1009,6466305600
11,1101,3366001900
