econ2,label
4100,Payment for labor
4200,Acquisition of services and goods
4300,Ineterest payments
4400,Interest payments
4500,Subsidies
4600,Grants
4700,Social allowances and pensions
4800,Other costs
5100,Fixed assets
5200,Reserves
5300,High-value assets
5400,Non-produced assets
6100,Receipts from alienation of fixed assets
6300,Receipts from alienation of high-valued assets
6400,Intangible non-produced assets
6500,Receipts from alienation of non-financial assets
9999,Total subnational government spending
